"Site","Datetime","max_WT","Solar_7d","WL_max_7day","Air_tmax_7day","Air_tmin_7day","GWT_min","GWL_min_7day","ppt_7day","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d"
"Pint","6/1/2024",12.11,26.29398861,0.365457,13.94286,2.457143,9.077,0.160143,7.29,19.1,0.039454,0,0.043,670.2
"Pint","6/2/2024",12.11,24.21668562,0.386053,15.25714,3.285714,9.077,0.162286,5.53,9.3,0.197115,0.099,0.053,714.6
"Pint","6/3/2024",11.528,21.93449122,0.409969,14.55714,4.1,9.176,0.168429,36.01,3.5,0.141267,0,0.032,718.2
"Pint","6/4/2024",11.334,20.9273141,0.41567,13.1,4.114286,9.176,0.169857,47.33,4.8,0.026444,0.099,0.027,721.8
"Pint","6/5/2024",12.304,21.82217124,0.415156,13.24286,4.3,9.275,0.167714,46.14,6.3,0.058868,0,0.043,725.4
"Pint","6/6/2024",12.594,21.20502838,0.418897,14.85714,4.814286,9.275,0.167857,44.09,14.4,0.060303,0,0.054,640.8
"Pint","6/7/2024",13.076,20.8014168,0.423138,16.37143,5.628571,9.275,0.169286,44.09,17.8,0.069558,0.098,0.061,528
"Pint","6/8/2024",13.461,21.02975966,0.427374,17.14286,6.528571,9.373,0.169714,44.09,18.2,0.056265,0,0.05,420
"Pint","6/9/2024",13.846,24.06363408,0.405524,18.21429,6.857143,9.373,0.167,44.09,14.5,0.052561,0.099,0.044,405
"Pint","6/10/2024",13.942,26.32731419,0.380698,19.45714,6.942857,9.472,0.159143,13.61,11.6,0.058772,0,0.055,423
"Pint","6/11/2024",13.942,28.58975985,0.374238,21.44286,7.5,9.571,0.154429,2.29,14.8,0.045328,0,0.047,424
"Pint","6/12/2024",13.846,28.70331429,0.367294,22.41429,7.257143,9.571,0.151286,0.44,14.8,0.046635,0.098,0.05,408
"Pint","6/13/2024",13.365,27.75291429,0.361177,22.34286,6.8,9.669,0.148571,0.44,17.1,0.052622,0.099,0.055,375
"Pint","6/14/2024",13.076,27.40237722,0.354963,21.94286,6.171429,9.768,0.148286,0.44,19.4,0.042152,0.098,0.044,353.4285714
"Pint","6/15/2024",12.787,25.8619888,0.357919,20.4,5.3,9.866,0.151857,2.92,13.5,0.078896,0.099,0.032,343.2857143
"Pint","6/16/2024",11.916,25.42381737,0.36106,17.98571,4.214286,9.965,0.154,14.39,5.2,0.058879,0,0.034,344.5714286
"Pint","6/17/2024",11.528,23.10582857,0.360657,16.61429,3.257143,9.965,0.160286,17.74,8.7,0.013776,0.098,0.014,345.8571429
"Pint","6/18/2024",11.431,24.06116564,0.359254,14.62857,2.442857,10.063,0.159714,19.64,6.6,0.047729,0,0.047,347.1428571
"Pint","6/19/2024",11.916,24.01549692,0.356683,14.51429,2.142857,10.063,0.156857,19.2,16.1,0.05426,0,0.063,348.4285714
"Pint","6/20/2024",12.69,24.96342819,0.352481,15.01429,2.671429,10.063,0.153286,19.2,16.9,0.055266,0,0.067,349.7142857
"Pint","6/21/2024",13.173,25.28434248,0.349088,15.4,3.842857,10.063,0.148,19.2,13.9,0.061728,0,0.067,308.5714286
"Pint","6/22/2024",13.654,27.29375947,0.337111,17.04286,5.057143,10.063,0.138,16.72,16.5,0.054523,0,0.066,225
"Pint","6/23/2024",14.038,27.78500504,0.324589,19.6,6.171429,10.063,0.132429,5.25,15.3,0.027618,0.098,0.037,126
"Pint","6/24/2024",14.134,30.12891353,0.31755,20.64286,6.785714,10.161,0.123286,2.81,11.7,0.046304,0.098,0.051,54
"Pint","6/25/2024",13.846,30.06226218,0.312156,22.47143,7.014286,10.259,0.117,0.91,17.8,0.060688,0,0.073,24.75
"Pint","6/26/2024",14.038,29.24886797,0.306631,23.85714,7.942857,10.259,0.118143,0.91,19.3,0.027887,0.098,0.032,11.25
"Pint","6/27/2024",14.134,27.78870812,0.305661,23.04286,8.028571,10.357,0.122714,1.27,10.6,0.0268,0.098,0.027,13.5
"Pint","6/28/2024",13.75,27.77389692,0.304404,21.41429,7.385714,10.455,0.123429,1.54,7,0.051547,0.098,0.058,15.75
"Pint","6/29/2024",13.75,26.48406853,0.302492,20.61429,6.757143,10.553,0.125143,1.54,15.3,0.038661,0.098,0.049,22.5
"Pint","6/30/2024",13.942,25.82866274,0.301422,19.95714,6.685714,10.651,0.125286,1.87,11.2,0.024846,0,0.034,33.75
"Pint","7/1/2024",14.134,25.63488011,0.299118,20.05714,7.271429,10.651,0.124429,1.62,8.3,0.038203,0.097,0.055,49.5
"Pint","7/2/2024",14.23,25.61266312,0.29735,19.77143,7.885714,10.748,0.126,1.62,11.5,0.041809,0.098,0.057,65.25
"Pint","7/3/2024",14.23,26.36804613,0.297918,18.65714,7.657143,10.846,0.122714,1.62,13.1,0.049025,0,0.062,81.75
"Pint","7/4/2024",14.134,27.83684613,0.296598,19.52857,7.614286,10.846,0.115857,1.26,17,0.062501,0.098,0.079,82.5
"Pint","7/5/2024",14.23,27.89732605,0.292398,21.84286,7.928571,10.944,0.112143,0.99,21,0.048616,0.097,0.071,67.5
"Pint","7/6/2024",14.613,29.40685752,0.289356,23.47143,8.928571,11.041,0.107286,0.99,19.7,0.046175,0,0.078,46.5
"Pint","7/7/2024",14.9,30.04004632,0.285086,25.12857,9.6,11.041,0.100714,0.66,18.1,0.036737,0.098,0.075,33
"Pint","7/8/2024",15.187,30.10546331,0.280298,27.11429,10.17143,11.139,0.095714,0,18.2,0.037883,0.097,0.076,30
"Pint","7/9/2024",15.569,30.04868609,0.273228,29.22857,11.22857,11.236,0.089571,0,18.9,0.028469,0.098,0.074,25.5
"Pint","7/10/2024",15.855,29.93142895,0.264563,31.44286,12.67143,11.334,0.084286,0,18.5,0.019049,0,0.063,22.5
"Pint","7/11/2024",15.951,29.87835481,0.256706,32.25714,13.31429,11.334,0.082143,0,18.2,0.020672,0.097,0.062,43.5
"Pint","7/12/2024",15.855,29.7993606,0.252552,31.81429,13.55714,11.431,0.080714,0,16.2,0.028667,0.097,0.067,36
"Pint","7/13/2024",15.664,29.65988609,0.249277,31.14286,13.04286,11.528,0.079571,0,18.6,0.030646,0.097,0.072,39
"Pint","7/14/2024",15.664,29.52658301,0.24716,30.98571,12.8,11.625,0.079286,0,18.7,0.025532,0.097,0.063,18
"Pint","7/15/2024",15.76,29.51300579,0.245347,30.3,12.38571,11.722,0.079714,0,16.3,0.027048,0.097,0.065,33
"Pint","7/16/2024",15.664,28.95881158,0.245255,29.21429,11.64286,11.819,0.080857,0,16.5,0.029512,0,0.07,45
"Pint","7/17/2024",15.76,28.18244556,0.2458,28.95714,11.01429,11.819,0.082286,0,21.1,0.023923,0.097,0.056,45
"Pint","7/18/2024",15.951,28.05531391,0.246127,28.85714,11.21429,11.916,0.082143,0,16.1,0.030998,0,0.065,33
"Pint","7/19/2024",15.951,27.94175947,0.245447,28.97143,11.38571,11.916,0.082286,0,15.8,0.034505,0.097,0.067,16.5
"Pint","7/20/2024",15.855,27.83437684,0.244262,28.94286,11.7,12.013,0.082143,0,16.2,0.035804,0,0.068,13.5
"Pint","7/21/2024",16.046,27.51099421,0.243745,29.05714,11.67143,12.013,0.085,0,19.7,0.031387,0,0.035,15.3
"Pint","7/22/2024",16.141,27.35053707,0.244656,28.57143,11.65714,12.013,0.088,0,13,0.023904,0.097,0.042,14.4
"Pint","7/23/2024",16.141,27.80228571,0.246432,27.61429,11.12857,12.11,0.089,0,13.5,0.039881,0,0.064,10.8
"Pint","7/24/2024",15.76,28.24662857,0.248035,26.6,10.25714,12.11,0.090143,0,20.1,0.039403,0.097,0.058,7.2
"Pint","7/25/2024",15.378,28.18121158,0.248766,26,9.557143,12.207,0.091857,0,16.8,0.030078,0,0.05,3.6
"Pint","7/26/2024",15.282,28.16022857,0.250384,24.68571,8.728571,12.207,0.093857,0,12.4,0.040052,0.097,0.059,2.2
"Pint","7/27/2024",14.9,28.04173707,0.251418,24.15714,7.842857,12.304,0.095571,0,18.7,0.032449,0,0.06,3
"Pint","7/28/2024",14.613,27.60973707,0.252192,22.85714,7.171429,12.304,0.095143,0,15.3,0.029253,0,0.051,6
"Pint","7/29/2024",14.517,24.66843436,0.253793,22.47143,6.8,12.304,0.098714,0,12.9,0.031241,0,0.022,9
"Pint","7/30/2024",14.517,24.12905135,0.256537,21.95714,7.371429,12.207,0.102571,3.61,5.9,0.029803,0.097,0.042,12
"Pint","7/31/2024",14.709,24.13892586,0.258603,21.07143,8.014286,12.207,0.103286,3.61,9.4,0.035049,0,0.063,15
"Pint","8/1/2024",15.091,24.02413707,0.257779,21.54286,8.471429,12.207,0.101286,3.61,16.9,0.032498,0,0.063,11
"Pint","8/2/2024",15.951,23.68594286,0.25369,23.82857,9.914286,12.207,0.099286,3.61,18.3,0.023996,0,0.048,24
"Pint","8/3/2024",16.427,22.9503085,0.251602,24.62857,11.34286,12.207,0.100571,3.61,14.3,0.026596,0,0.032,31.5
"Pint","8/4/2024",16.427,23.44525677,0.252447,24.88571,12.17143,12.207,0.098429,3.61,11.3,0.037462,0.097,0.069,40.5
"Pint","8/5/2024",16.237,26.24214827,0.25283,26.05714,12.67143,12.304,0.093143,3.61,17.6,0.039778,0,0.07,43.5
"Pint","8/6/2024",16.237,26.57046835,0.249523,27.57143,12.64286,12.304,0.090143,0,16.7,0.040675,0.097,0.059,30
"Pint","8/7/2024",15.855,26.61983977,0.247247,28.15714,12.44286,12.304,0.087714,0,14.9,0.043527,0.097,0.066,24
"Pint","8/8/2024",15.569,26.33595406,0.246264,28.3,12.28571,12.401,0.087429,0,19,0.037844,0,0.061,7
"Pint","8/9/2024",15.569,26.37545135,0.24661,27.57143,12.04286,12.401,0.087143,0,14.9,0.031222,0.096,0.054,12
"Pint","8/10/2024",15.855,26.93334865,0.245737,27.4,11.7,12.497,0.084571,0,15.5,0.026431,0,0.049,15
"Pint","8/11/2024",16.046,26.79264015,0.243014,27.68571,11.58571,12.497,0.084286,0,14.1,0.034682,0,0.054,18.28571429
"Pint","8/12/2024",15.855,26.53220579,0.238761,26.94286,11.3,12.497,0.085429,0,14.4,0.023378,0,0.033,21.85714286
"Pint","8/13/2024",15.664,26.29522278,0.237165,25.6,11,12.497,0.087714,0.75,9.4,0.016121,0,0.026,25.71428571
"Pint","8/14/2024",15.378,26.0928,0.236671,24.35714,10.77143,12.497,0.089571,0.75,7.8,0.034875,0,0.046,29.57142857
"Pint","8/15/2024",15.091,25.2176915,0.23593,23.32857,10.61429,12.497,0.093429,0.75,12.9,0.015223,0,0.026,33.42857143
"Pint","8/16/2024",15.091,24.5487085,0.237346,21.67143,10.14286,12.497,0.095571,0.75,6.6,0.024442,0,0.044,37.28571429
"Pint","8/17/2024",15.187,23.88836564,0.291892,20.6,9.571429,12.497,0.096571,0.75,12,0.412831,0.097,0.161,41.14285714
"Pint","8/18/2024",13.654,23.74025135,0.325056,20.45714,9,12.497,0.104571,12.54,17.1,0.151282,0,0.065,45.71428571
"Pint","8/19/2024",13.846,23.60447992,0.33651,19.64286,8.671429,12.497,0.107571,12.54,11,0.0452,0,0.05,51
"Pint","8/20/2024",13.846,23.24406872,0.343868,19.81429,8.585714,12.497,0.109429,11.79,11.2,0.033778,0.097,0.047,57
"Pint","8/21/2024",14.038,22.84292586,0.348564,20.52857,8.585714,12.497,0.113286,11.79,12.8,0.031318,0.097,0.044,63
"Pint","8/22/2024",14.134,22.81947451,0.362528,20.27143,8.714286,12.497,0.118714,11.79,10.2,0.073746,0,0.058,69
"Pint","8/23/2024",14.134,21.49508609,0.386791,19.87143,8.4,12.497,0.128429,25.27,6,0.060343,0,0.041,75
"Pint","8/24/2024",13.942,20.56566891,0.349217,18.51429,7.757143,12.497,0.137286,29.75,7,0.04443,0,0.034,81
"Pint","8/25/2024",13.558,20.19661756,0.328539,16.62857,7.342857,12.497,0.136714,17.96,6.8,0.043572,0,0.048,87
"Pint","8/26/2024",13.365,20.07936041,0.326296,16.71429,7.085714,12.497,0.137,17.96,13.4,0.040117,0,0.058,93
"Pint","8/27/2024",13.461,19.55355462,0.325949,17.51429,7.157143,12.401,0.139429,18.16,16.3,0.030066,0.096,0.033,94
"Pint","8/28/2024",13.558,19.72265154,0.327627,16.64286,6.5,12.401,0.139286,18.16,11.3,0.045319,0,0.063,90
"Pint","8/29/2024",13.461,20.43113147,0.319946,16.87143,5.442857,12.401,0.132714,18.16,19.2,0.052082,0,0.062,81
"Pint","8/30/2024",13.269,22.0394056,0.299878,18.41429,5.514286,12.401,0.123143,4.68,16.3,0.056321,0,0.068,72
"Pint","8/31/2024",13.365,23.18605714,0.286233,21.11429,6.414286,12.304,0.114571,0.2,19.6,0.049599,0.097,0.059,72
"Pint","9/1/2024",13.654,22.87131429,0.274697,24.05714,7.785714,12.304,0.109143,0.2,17.8,0.042428,0,0.046,77
"Pint","9/2/2024",13.846,22.55903996,0.26703,25.58571,8.657143,12.207,0.108143,0.2,18,0.036345,0.097,0.031,87
"Pint","9/3/2024",14.134,22.95401139,0.262071,25.02857,8.9,12.207,0.103429,0,10.7,0.039641,0,0.043,93
"Pint","9/4/2024",14.134,22.67753147,0.257067,26.14286,9.785714,12.207,0.099429,0,12.9,0.051047,0,0.067,94
"Pint","9/5/2024",14.23,22.39241139,0.25083,27.28571,11.28571,12.207,0.097429,0,16.7,0.043543,0,0.046,99
"Pint","9/6/2024",14.517,22.07643436,0.245962,28.11429,12.4,12.207,0.096429,0,14.3,0.040165,0,0.036,91
"Pint","9/7/2024",14.709,21.54939421,0.242149,28.47143,13.37143,12.207,0.096571,0,15.3,0.030385,0,0.032,75
"Pint","9/8/2024",14.9,21.62962278,0.241703,27.94286,13.44286,12.207,0.096857,0,13.6,0.032386,0,0.041,42
"Pint","9/9/2024",14.996,21.5642056,0.240611,27.45714,13.45714,12.207,0.094429,0,14.5,0.039348,0,0.047,52.4
"Pint","9/10/2024",14.9,21.32228553,0.237922,28.01429,13.55714,12.207,0.093857,0,13.9,0.038785,0.097,0.044,106.2
"Pint","9/11/2024",14.613,19.26966835,0.242564,27.97143,13.44286,12.304,0.099286,0.3,13.4,0.064046,0,0.038,203.4
"Pint","9/12/2024",14.325,17.59103996,0.251191,25.71429,12.85714,12.304,0.107,7.67,5,0.027463,0,0.031,300.6
"Pint","9/13/2024",14.038,17.3343085,0.256352,23.08571,11.57143,12.304,0.110857,8.21,4.9,0.041755,0.097,0.042,397.8
"Pint","9/14/2024",13.942,17.26642278,0.260526,20.97143,10.02857,12.401,0.115571,8.21,11.3,0.031006,0,0.041,532.4571429
"Pint","9/15/2024",13.75,17.12447992,0.267905,19.2,8.785714,12.401,0.120857,10.95,9.9,0.038803,0,0.035,704.5714286
"Pint","9/16/2024",13.654,16.33823996,0.272791,17.25714,7.7,12.401,0.124571,10.95,8.5,0.051641,0,0.044,914.1428571
"Pint","9/17/2024",13.365,15.57051429,0.276875,16.01429,7.071429,12.401,0.129714,10.95,9.6,0.028121,0,0.028,1123.714286
"Pint","9/18/2024",12.883,17.0960915,0.272368,14.77143,6.928571,12.401,0.128857,10.69,5.7,0.028969,0,0.033,1333.285714
"Pint","9/19/2024",12.787,18.33531429,0.266987,15.24286,6.728571,12.401,0.126429,3.32,9.7,0.028605,0,0.037,1542.857143
"Pint","9/20/2024",12.787,18.23533707,0.265691,16.01429,6.4,12.304,0.127714,2.78,12.6,0.033468,0.097,0.037,1752.428571
"Pint","9/21/2024",12.69,18.08228571,0.267308,15.52857,5.914286,12.304,0.126143,2.78,11.3,0.056221,0,0.061,1803.642857
"Pint","9/22/2024",12.401,17.84036564,0.263757,16.05714,5.571429,12.207,0.123143,0.04,16,0.05426,0.097,0.056,1696.5
"Pint","9/23/2024",12.207,17.79963417,0.261067,17.25714,6.114286,12.207,0.121,0.04,13.1,0.045333,0,0.051,1592.25
"Pint","9/24/2024",12.013,18.12795406,0.257947,18.08571,6.642857,12.11,0.116429,0.04,11.7,0.04087,0.097,0.046,1649.25
"Pint","9/25/2024",12.207,16.85170261,0.269132,20.34286,7.5,12.11,0.116,0,15.5,0.127399,0,0.061,1867.5
"Pint","9/26/2024",12.304,16.59250261,0.27952,20.78571,7.285714,12.013,0.116429,13.58,14.3,0.075456,0.097,0.053,2085.75
"Pint","9/27/2024",12.304,16.25060551,0.279979,20.85714,7,12.013,0.114857,13.88,15.1,0.041956,0,0.043,2162.25
"Pint","9/28/2024",12.401,16.03830821,0.279003,21.62857,7.971429,11.916,0.114571,13.88,9.9,0.040526,0.097,0.046,2097
"Pint","9/29/2024",12.497,15.94943968,0.27945,22,7.957143,11.916,0.117143,13.88,18.7,0.037358,0,0.035,2214
"Pint","9/30/2024",12.401,16.23455976,0.281823,20.74286,6.928571,11.916,0.117286,13.88,11.5,0.058866,0,0.059,2100
