"Site","response","predictor"
"Anvil","Max","Air_tmax"
"Anvil","Max","Air_tmin_7day"
"Anvil","Max","Air_trange"
"Anvil","Max","GWL_max_7day"
"Anvil","Max","GWL_range"
"Anvil","Max","GWT_min_7day"
"Anvil","Max","GWT_range"
"Anvil","Max","Solar_3d"
"Anvil","Max","WL_daily_range"
"Anvil","Max","WL_max_7day"
"Anvil","Max","ppt"
"Anvil","Mean","Air_tmax"
"Anvil","Mean","Air_tmin"
"Anvil","Mean","Air_trange"
"Anvil","Mean","GWL_max_7day"
"Anvil","Mean","GWL_range"
"Anvil","Mean","GWT_min_7day"
"Anvil","Mean","GWT_range"
"Anvil","Mean","Solar_3d"
"Anvil","Mean","WL_daily_range"
"Anvil","Mean","WL_max_7day"
"Anvil","Mean","ppt"
"Anvil","Range","Air_tmax"
"Anvil","Range","Air_tmean_7day"
"Anvil","Range","Air_trange"
"Anvil","Range","GWL_max_7day"
"Anvil","Range","GWL_range"
"Anvil","Range","GWT_min_7day"
"Anvil","Range","GWT_range"
"Anvil","Range","Solar_daily"
"Anvil","Range","WL_daily_range"
"Anvil","Range","WL_max_7day"
"Anvil","Range","ppt_7day"
"Butte","Max","Air_tmax"
"Butte","Max","Air_tmin"
"Butte","Max","Air_trange"
"Butte","Max","GWL_max"
"Butte","Max","GWL_range"
"Butte","Max","GWT_min_7day"
"Butte","Max","GWT_range"
"Butte","Max","Solar_2d"
"Butte","Max","WL_max_2day"
"Butte","Max","WL_min_2day"
"Butte","Max","ppt_7day"
"Butte","Mean","Air_tmax_2day"
"Butte","Mean","Air_tmin"
"Butte","Mean","Air_trange"
"Butte","Mean","GWL_max"
"Butte","Mean","GWL_range"
"Butte","Mean","GWT_max"
"Butte","Mean","GWT_range"
"Butte","Mean","Solar_3d"
"Butte","Mean","WL_max_2day"
"Butte","Mean","WL_min_3day"
"Butte","Mean","ppt_7day"
"Butte","Range","Air_tmax"
"Butte","Range","Air_tmin_7day"
"Butte","Range","Air_trange"
"Butte","Range","GWT_min_7day"
"Butte","Range","GWT_range"
"Butte","Range","Solar_daily"
"Butte","Range","WL_daily_min"
"Butte","Range","WL_daily_range"
"Butte","Range","WL_max_7day"
"Butte","Range","ppt"
"Cooper","Max","Air_tmax"
"Cooper","Max","Air_tmin_3day"
"Cooper","Max","Air_trange"
"Cooper","Max","Solar_daily"
"Cooper","Max","ppt_7day"
"Cooper","Mean","Air_tmean_2day"
"Cooper","Mean","Air_tmin_3day"
"Cooper","Mean","Air_trange"
"Cooper","Mean","Solar_daily"
"Cooper","Mean","ppt_7day"
"Cooper","Range","Air_tmean"
"Cooper","Range","Air_tmin_7day"
"Cooper","Range","Air_trange"
"Cooper","Range","Solar_daily"
"Cooper","Range","ppt"
"Crater","Max","Air_tmean_3day"
"Crater","Max","Air_trange"
"Crater","Max","GWL_max_7day"
"Crater","Max","GWL_range"
"Crater","Max","GWT_max_7day"
"Crater","Max","GWT_range"
"Crater","Max","Solar_7d"
"Crater","Max","WL_min_7day"
"Crater","Max","Water_area_m2_3d"
"Crater","Max","ppt_7day"
"Crater","Mean","Air_tmean_3day"
"Crater","Mean","Air_trange"
"Crater","Mean","GWL_max_7day"
"Crater","Mean","GWL_range"
"Crater","Mean","GWT_max_7day"
"Crater","Mean","GWT_range"
"Crater","Mean","Solar_7d"
"Crater","Mean","WL_min_7day"
"Crater","Mean","Water_area_m2_3d"
"Crater","Mean","ppt_7day"
"Crater","Range","Air_tmax_7day"
"Crater","Range","Air_trange"
"Crater","Range","GWL_mean"
"Crater","Range","GWL_range"
"Crater","Range","GWT_max"
"Crater","Range","GWT_range"
"Crater","Range","Solar_daily"
"Crater","Range","WL_min_7day"
"Crater","Range","Water_area_m2_3d"
"Crater","Range","ppt_7day"
"Hideaway","Max","Air_tmean"
"Hideaway","Max","Air_tmin"
"Hideaway","Max","Air_trange"
"Hideaway","Max","GWL_max_7day"
"Hideaway","Max","GWL_range"
"Hideaway","Max","GWT_mean_7day"
"Hideaway","Max","GWT_range"
"Hideaway","Max","Solar_2d"
"Hideaway","Max","Water_area_m2_3d"
"Hideaway","Max","ppt_7day"
"Hideaway","Mean","Air_tmean"
"Hideaway","Mean","Air_tmin"
"Hideaway","Mean","Air_trange"
"Hideaway","Mean","GWL_max"
"Hideaway","Mean","GWL_range"
"Hideaway","Mean","GWT_min_7day"
"Hideaway","Mean","GWT_range"
"Hideaway","Mean","Solar_2d"
"Hideaway","Mean","Water_area_m2_3d"
"Hideaway","Mean","ppt_7day"
"Hideaway","Range","Air_tmean"
"Hideaway","Range","Air_tmin_3day"
"Hideaway","Range","Air_trange"
"Hideaway","Range","GWL_max_7day"
"Hideaway","Range","GWL_range"
"Hideaway","Range","GWT_mean_7day"
"Hideaway","Range","GWT_range"
"Hideaway","Range","Solar_daily"
"Hideaway","Range","Water_area_m2_3d"
"Hideaway","Range","ppt"
"Pint","Max","Air_tmax_7day"
"Pint","Max","Air_tmin_7day"
"Pint","Max","Air_trange"
"Pint","Max","GWL_min_7day"
"Pint","Max","GWL_range"
"Pint","Max","GWT_min"
"Pint","Max","GWT_range"
"Pint","Max","Solar_7d"
"Pint","Max","WL_daily_range"
"Pint","Max","WL_max_7day"
"Pint","Max","Water_area_m2_3d"
"Pint","Max","ppt_7day"
"Pint","Mean","Air_tmax_7day"
"Pint","Mean","Air_tmin_7day"
"Pint","Mean","Air_trange"
"Pint","Mean","GWL_min_7day"
"Pint","Mean","GWL_range"
"Pint","Mean","GWT_min"
"Pint","Mean","GWT_range"
"Pint","Mean","Solar_7d"
"Pint","Mean","WL_daily_range"
"Pint","Mean","WL_max_7day"
"Pint","Mean","Water_area_m2_3d"
"Pint","Mean","ppt_7day"
"Pint","Range","Air_tmax_7day"
"Pint","Range","Air_tmin_7day"
"Pint","Range","Air_trange"
"Pint","Range","GWL_range"
"Pint","Range","GWT_min"
"Pint","Range","GWT_range"
"Pint","Range","Solar_daily"
"Pint","Range","WL_daily_max"
"Pint","Range","WL_daily_range"
"Pint","Range","WL_min_7day"
"Pint","Range","Water_area_m2_3d"
"Pint","Range","ppt_7day"
"Sam","Max","Air_tmax"
"Sam","Max","Air_tmin"
"Sam","Max","Air_trange"
"Sam","Max","GWL_min"
"Sam","Max","GWL_range"
"Sam","Max","GWT_max"
"Sam","Max","GWT_range"
"Sam","Max","Solar_daily"
"Sam","Max","WL_daily_min"
"Sam","Max","WL_daily_range"
"Sam","Max","ppt"
"Sam","Mean","Air_tmax"
"Sam","Mean","Air_tmin"
"Sam","Mean","Air_trange"
"Sam","Mean","GWL_min"
"Sam","Mean","GWL_range"
"Sam","Mean","GWT_max"
"Sam","Mean","GWT_range"
"Sam","Mean","Solar_2d"
"Sam","Mean","WL_daily_mean"
"Sam","Mean","WL_daily_range"
"Sam","Mean","ppt_7day"
"Sam","Range","Air_tmax"
"Sam","Range","Air_tmin_3day"
"Sam","Range","Air_trange"
"Sam","Range","GWL_min_7day"
"Sam","Range","GWL_range"
"Sam","Range","GWT_max_7day"
"Sam","Range","GWT_range"
"Sam","Range","Solar_daily"
"Sam","Range","WL_daily_min"
"Sam","Range","WL_daily_range"
"Sam","Range","ppt"
