Site,Metric,Set,Model,RMSE_p2,MAE_p2,R2_p2,NSE_p2,n_resamples_p2,grid_rows_p2,pass2_file,RMSE,MAE,R2,NSE,n_resamples,dRMSE,dMAE,dR2,dNSE
Anvil,max,A,XGB,1.36677279248296,0.9567118466799376,0.7507588626939123,0.7495616526229789,5,6,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Anvil_max_A_xgb_pass2.rds,1.339034765386112,0.9375761891349418,0.7605124090261568,0.7596235678239375,5,0.027738027096847917,0.0191356575449958,-0.009753546332244456,-0.01006191520095856
Anvil,range,A,XGB,0.944996828224633,0.6755512357031713,0.6505384421545979,0.6481293160869093,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Anvil_range_A_xgb_pass2.rds,0.9431406929698828,0.6620518136200357,0.6497531639917483,0.6495102268853452,5,0.0018561352547502574,0.013499422083135593,7.852781628495675e-4,-0.0013809107984359414
Anvil,range,B,XGB,1.288683176993239,0.9524501460839491,0.35884418813481817,0.3456430769056076,5,24,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Anvil_range_B_xgb_pass2.rds,1.2778369649674834,0.948814351111162,0.3648320127744598,0.356611524138694,5,0.01084621202575553,0.0036357949727870986,-0.005987824639641648,-0.010968447233086431
Butte,max,A,XGB,0.7557425626247622,0.5804514019762884,0.8195679072124209,0.8181559294700103,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_max_A_xgb_pass2.rds,0.7574439756507019,0.5867355347930407,0.8194407081209918,0.8173362319841956,5,-0.0017014130259396243,-0.00628413281675233,1.271990914291088e-4,8.196974858146744e-4
Butte,max,B,RFR,0.7841306541501551,0.5977358770491817,0.8073776188149526,0.8042380669377507,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_max_B_rfr_pass2.rds,0.7806562819628478,0.5974928442622962,0.8094857015772989,0.8059690105963997,5,0.003474372187307395,2.430327868855331e-4,-0.0021080827623463083,-0.001730943658649009
Butte,max,B,XGB,0.7125303217162401,0.5593283809599329,0.8383965997128733,0.8383565610306458,5,12,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_max_B_xgb_pass2.rds,0.7045013634225069,0.5539711385945805,0.8422380422765158,0.8419789088058427,5,0.00802895829373318,0.005357242365352399,-0.0038414425636424943,-0.003622347775196877
Butte,mean,A,XGB,0.5840221997977975,0.44995571181625615,0.8480829412127724,0.8461537031957059,5,12,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_mean_A_xgb_pass2.rds,0.5629394570488415,0.43244073776495257,0.8581275164662782,0.8570606788685087,5,0.02108274274895594,0.01751497405130359,-0.010044575253505772,-0.010906975672802743
Butte,mean,B,XGB,0.6481800290120958,0.4912352791470387,0.8112406105373322,0.810495456398436,5,8,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_mean_B_xgb_pass2.rds,0.6324449193925076,0.48229140610241494,0.8198869104962262,0.8195845393364838,5,0.01573510961958824,0.00894387304462374,-0.008646299958893988,-0.009089082938047777
Butte,range,A,RFR,0.6130783134195162,0.4802621264687135,0.7513737418688164,0.7486191128814821,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_range_A_rfr_pass2.rds,0.6100503147016075,0.4810725039855183,0.7535757927293076,0.7510961251904584,5,0.0030279987179087087,-8.103775168047944e-4,-0.0022020508604911893,-0.002477012308976345
Butte,range,B,RFR,0.6881695759400625,0.5349878211526009,0.683708053241377,0.6832684810438158,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_range_B_rfr_pass2.rds,0.6862438475541569,0.5326988627748163,0.68538330854399665,0.6850386420380916,5,0.0019257283859055452,0.0022889583777846445,-0.0016752553026196937,-0.001770160994275849
Cooper,max,A,RFR,1.1878890836497291,0.8773141289844774,0.4541117664961919,0.4522868439625076,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Cooper_max_A_rfr_pass2.rds,1.1884821212522592,0.8852417682579045,0.4524750180135945,0.4517398306410947,5,-5.930376025300443e-4,-0.0079276392734271,0.0016367484825973722,5.470133214129369e-4
Cooper,max,B,RFR,1.1878890836497291,0.8773141289844774,0.4541117664961919,0.4522868439625076,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Cooper_max_B_rfr_pass2.rds,1.1884821212522592,0.8852417682579045,0.4524750180135945,0.4517398306410947,5,-5.930376025300443e-4,-0.0079276392734271,0.0016367484825973722,5.470133214129369e-4
Cooper,range,A,XGB,1.3285984176986414,1.024772606398846,0.30096499779724395,0.2767986889733569,5,8,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Cooper_range_A_xgb_pass2.rds,1.3384578282169108,1.011955217552147,0.298799158927516,0.26602523730986793,5,-0.00985941051826944,0.01281738884669914,0.002165838869727932,0.010773451663488975
Cooper,range,B,XGB,1.3285984176986414,1.024772606398846,0.30096499779724395,0.2767986889733569,5,8,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Cooper_range_B_xgb_pass2.rds,1.3384578282169108,1.011955217552147,0.298799158927516,0.26602523730986793,5,-0.00985941051826944,0.01281738884669914,0.002165838869727932,0.010773451663488975
Crater,max,A,XGB,0.8629208186951398,0.6406923155380507,0.8683258899955949,0.8635346385574839,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Crater_max_A_xgb_pass2.rds,0.8470877035849924,0.6354551929538532,0.873393442971429,0.8684965062552452,5,0.0158331151101474,0.005237122584197507,-0.005067552975834055,-0.004961867697761302
Crater,mean,A,RFR,0.9719194946647206,0.7801217350339008,0.8413966336265666,0.8266761478564554,4,3,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Crater_mean_A_rfr_pass2.rds,0.9558452596437564,0.7429421096313582,0.8469760782771152,0.8323618237010633,5,0.016074235020964167,0.037179625402542604,-0.005579444650548604,-0.005685675844607885
Crater,mean,A,XGB,0.8810073565965498,0.6923680003584521,0.865621787213761,0.8575846452622744,4,54,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Crater_mean_A_xgb_pass2.rds,0.854430544213755,0.6339262296191716,0.8715970332869848,0.8660473602497607,5,0.026576812382794857,0.058441770739280585,-0.00597524607322375,-0.008462714987486297
Crater,mean,B,RFR,1.420420636509754,1.1165310641871566,0.6608697784167528,0.6584601272120287,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Crater_mean_B_rfr_pass2.rds,1.406712010124255,1.110745685528688,0.6665108629209442,0.6650207881231918,5,0.013708626385499079,0.005785378658468732,-0.005641084504191429,-0.00656066091116303
Crater,mean,B,XGB,1.3736610198425607,1.0799441080792536,0.6806023193735752,0.6805766833470669,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Crater_mean_B_xgb_pass2.rds,1.348420942074853,1.0566867060631924,0.6922394737272409,0.6922072092290313,5,0.025240077767707758,0.02325740201606119,-0.011637154353665746,-0.011630525881964449
Crater,range,A,XGB,0.24486126923493673,0.18764151316502337,0.6260944333993654,0.6194563345450406,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Crater_range_A_xgb_pass2.rds,0.24448596336137815,0.184936734270115,0.6303523968927045,0.6206219808792065,5,3.7530587355857903e-4,0.0027047788949083607,-0.0042579634933390675,-0.0011656463341659373
Crater,range,B,XGB,0.3161613949040858,0.25235091419688993,0.3567770784545695,0.354893336628907,5,8,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Crater_range_B_xgb_pass2.rds,0.3129563811498158,0.2495343516859852,0.3681344264250886,0.3679062849170008,5,0.003205013754270014,0.00281656251090473,-0.011357347970519072,-0.013012948288093795
Hideaway,max,B,RFR,1.126071310017745,0.8826677203585966,0.7832094193774204,0.781116124568923,5,4,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Hideaway_max_B_rfr_pass2.rds,1.1268576059518955,0.8803076880515627,0.7828030764514989,0.7808103400452004,5,-7.862959341504716e-4,0.0023600323070339657,4.063429259214546e-4,3.0578452372254095e-4
Hideaway,max,B,XGB,1.1223032308096106,0.8866732628431597,0.7830969337435534,0.7825785396751714,5,36,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Hideaway_max_B_xgb_pass2.rds,1.1285360542934386,0.8834271694264827,0.7805940413617846,0.7801568901137735,5,-0.006232823483828032,0.0032460934166770317,0.0025028923817688176,0.0024216495613978983
Hideaway,mean,A,XGB,0.494233052913717,0.3887480468242396,0.8406248543569721,0.8402786946706086,5,6,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Hideaway_mean_A_xgb_pass2.rds,0.46897695108468224,0.37238857014611015,0.8578002866754554,0.8561856324543967,5,0.02525610182903476,0.016359476678129425,-0.017175432318483286,-0.015906937783788155
Hideaway,range,A,XGB,1.0600799826743998,0.8187190789840161,0.739409067287118,0.7387926795012147,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Hideaway_range_A_xgb_pass2.rds,1.0426974875022097,0.8062465804691027,0.7473232226869773,0.747288660042287,5,0.01738249517219015,0.012472498514913388,-0.00791415539985929,-0.008495980541072257
Hideaway,range,B,RFR,1.1864733005150323,0.9377721925787033,0.7180404834894404,0.7166723531260966,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Hideaway_range_B_rfr_pass2.rds,1.1846422312609228,0.9379173442524952,0.7186068676875658,0.7175461902698681,5,0.0018310692541094742,-1.4515167379192118e-4,-5.663841981253803e-4,-8.738371437715386e-4
Hideaway,range,B,XGB,1.1838371962354965,0.929882656783391,0.7185632059215329,0.7179299482399895,5,24,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Hideaway_range_B_xgb_pass2.rds,1.190559714785928,0.9396657122598666,0.7182203457801846,0.7147173357511222,5,-0.006722518550431378,-0.009783055476475622,3.428601413483223e-4,0.0032126124888672836
Pint,max,A,RFR,0.5222313633968598,0.39809183606557114,0.8401266801511849,0.8398803866351063,4,6,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_max_A_rfr_pass2.rds,0.49547207314587255,0.38422672131146623,0.8559880456216611,0.855869134835991,5,0.026759290250987278,0.013865114754104901,-0.01586136547047623,-0.015988748200884695
Pint,max,A,XGB,0.5014962705770472,0.38165222424366424,0.8542521718452083,0.8523429977131721,4,36,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_max_A_xgb_pass2.rds,0.4764750986164379,0.37593656902625905,0.8722778474998661,0.86670954544583,5,0.025021171960609268,0.005715655217405191,-0.018025675654657847,-0.014366547732657886
Pint,max,B,RFR,0.6442059716599591,0.4834838092896178,0.7586692143944057,0.7563490413619339,4,3,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_max_B_rfr_pass2.rds,0.5927318762790362,0.4423847431693981,0.7987248829222003,0.7937304130093982,5,0.051474095380922846,0.04109906612021974,-0.04005566852779463,-0.037381371647464245
Pint,max,B,XGB,0.6064040324786244,0.45639205119648907,0.7869170361076864,0.7841048963158369,4,54,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_max_B_xgb_pass2.rds,0.5319423085838835,0.41845878488509375,0.8343759794894854,0.8338701399158028,5,0.07446172389474093,0.03793326631139532,-0.04745894338179901,-0.049765243599965925
Pint,mean,A,RFR,0.5197963665968204,0.39822105057377355,0.8604989548531636,0.8575342803284773,4,3,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_mean_A_rfr_pass2.rds,0.5016006137329632,0.3919450835245915,0.8701583877915561,0.8673338836574919,5,0.018195752863857217,0.006275967049182041,-0.009659432938392443,-0.009799603329014528
Pint,mean,A,XGB,0.48562749469837324,0.3819821167767634,0.8757385968430179,0.8756486708353071,4,54,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_mean_A_xgb_pass2.rds,0.4530567349093389,0.36768238788292057,0.8935070202399157,0.8917696459872978,5,0.03257075978903434,0.014299728893842845,-0.01776842339689777,-0.016120975151990735
Pint,mean,B,RFR,0.6807154910251346,0.5279151504917979,0.756735561573753,0.7556709168434704,4,6,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_mean_B_rfr_pass2.rds,0.6264523168005902,0.48937836622950537,0.7957742721969251,0.7930716776065557,5,0.05426317422454441,0.03853678426229257,-0.0390387106231721,-0.037400760763085295
Pint,mean,B,XGB,0.6770872894640815,0.5389722256469727,0.7635702467067836,0.758268515176664,4,54,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_mean_B_xgb_pass2.rds,0.5837070182945324,0.4663864415578374,0.8214454397842101,0.820347308639151,5,0.09338027116954906,0.0725857840891353,-0.0578751930774265,-0.0620787934624869
Pint,range,A,RFR,0.22992682018185231,0.1434813466757741,0.5426184975097326,0.512034023212051,4,3,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_range_A_rfr_pass2.rds,0.23232923255961171,0.14370852542935206,0.5237900745992237,0.5017836320442457,5,-0.0024024123777593998,-2.271787535779446e-4,0.018828422910508902,0.01025039116780535
Pint,range,A,XGB,0.23002576242447634,0.14234695365585265,0.5427056985980836,0.5116139692482322,4,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_range_A_xgb_pass2.rds,0.2383637083138474,0.145964789507819,0.4816697487412523,0.4755663595829587,5,-0.008337945889371062,-0.0036178358519663445,0.061035949856831306,0.03604760966527354
Pint,range,B,RFR,0.3265199104166988,0.2196596754512986,0.04890580183793829,0.01592179567873009,4,6,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_range_B_rfr_pass2.rds,0.3292030512031352,0.2240397892646516,0.03737154790756187,-3.1775947099732527e-4,5,-0.0026831407864363888,-0.004380113813352987,0.011534253930376416,0.016239555149727414
Pint,range,B,XGB,0.3319963493637767,0.21530491179130118,0.00252908611604358,-0.01736523290113845,4,54,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Pint_range_B_xgb_pass2.rds,0.32971240334147045,0.2159255971507948,0.00782097499866803,-0.00341559319436268,5,0.002283946022306249,-6.206853594936113e-4,-0.00529188888262445,-0.01394963970677577
Sam,max,A,XGB,0.4067586121094774,0.3127555877185259,0.7792622092424502,0.7768381595749402,5,4,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Sam_max_A_xgb_pass2.rds,0.4009963395923651,0.30678225676739806,0.7862268307485201,0.7831161383551548,5,0.00576227251711231,0.005973330951127842,-0.006964621506069912,-0.0062779787802146325
Sam,max,B,RFR,0.49450669989593377,0.38945760750963426,0.674355053812063,0.6701695244723177,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Sam_max_B_rfr_pass2.rds,0.4935065100928376,0.3881597465737587,0.6744787029489397,0.6715024061395966,5,0.0010001898030961853,0.0012978609358755833,-1.2364913687679113e-4,-0.0013328816672788513
Sam,mean,B,RFR,0.358871798967967,0.2721664136800553,0.7416651586696855,0.7414512049163391,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Sam_mean_B_rfr_pass2.rds,0.35596929325582244,0.27165616289535566,0.7458014131945395,0.7456165064621609,5,0.002902505712144565,5.102507846996285e-4,-0.0041362545248539995,-0.004165301545821842
Sam,range,A,XGB,0.348473496094046,0.27624554689497244,0.6570405445647214,0.6548700210661471,5,6,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Sam_range_A_xgb_pass2.rds,0.35308885836209253,0.2800691930651665,0.6462662769822457,0.6456673213308658,5,-0.004615362268046541,-0.0038236461701940394,0.010774267582475683,0.009202699735281317
Sam,range,B,RFR,0.4327810733536275,0.3457088527077886,0.4685141077065384,0.4676715231414137,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Sam_range_B_rfr_pass2.rds,0.42885429997765107,0.343081793085421,0.4783645402227783,0.4772877021169517,5,0.003926773375976411,0.002627059622367589,-0.009850432516239904,-0.009616178975538014
Sam,range,B,XGB,0.42128752281138865,0.33861583875241824,0.49577808014396363,0.4955706199075939,5,36,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Sam_range_B_xgb_pass2.rds,0.41660899186689615,0.33604523870397784,0.5072478846240953,0.506712104658588,5,0.004678530944492498,0.002570600048440397,-0.011469804480131685,-0.01114148475099408
